,,,,,,,,,,,,,,,,,,,,,,AFS Days,Shipment Plan Days,,,,,Bunch Qty,,,to ship,,,
,,,,,,,,,,,,,,,,,,,,,,30,40,,,,,2,,,1347,,,
Group Name,SKU,Title,Category,Int – WH,Dec – WH,Non Apron Qty,APR- Sky Blue,APR- Dark Blue,APR- Brown,APR- Green,APR- Tan,APR- Black,APR- Red,APR- Grey,weight,Total Weight, ,HSN,GST ,COST,SKU,Title,Tra. Qty,quantity,Available Qty,Fulfilment ID,Sale-Total,Sale-WH,Ship – WH,Sum,Final – WH,,,
APR- Black,Apron_Black,CRASOME Polyester Kitchen Apron for Men Women Chef Cooking Restaurants gardening workshop barbers With Pockets and Adjustable Strap ( Black ),Apron,,,,,,,,,,,,140,,,630222,5,60,Apron_Black,CRASOME Polyester Kitchen Apron for Men Women Chef Cooking Restaurants gardening workshop barbers With Pockets and Adjustable Strap ( Black ),0,51,51,BLR4,24,24,-19,,,,,
APR- Dark Blue,Apron_Blue,CRASOME Polyester Kitchen Apron for Men Women Chef Cooking Restaurants gardening workshop barbers With Pockets and Adjustable Strap (Blue),Apron,8,0,,,16,,,,,,,140,2240,,630222,5,60,Apron_Blue,CRASOME Polyester Kitchen Apron for Men Women Chef Cooking Restaurants gardening workshop barbers With Pockets and Adjustable Strap (Blue),0,36,36,BLR4,40,39,16,,16,,,FALSE
APR- Brown,Apron_Brown,"CRASOME Polyester Kitchen Apron for Men Women Chef Cooking Restaurants gardening workshop, barbers With Pockets and Adjustable Strap ( Brown )",Apron,,,,,,,,,,,,140,,,630222,5,60,Apron_Brown,"CRASOME Polyester Kitchen Apron for Men Women Chef Cooking Restaurants gardening workshop, barbers With Pockets and Adjustable Strap ( Brown )",15,121,136,BLR4,90,84,-24,,,,,
APR- Grey,Apron_Grey,"CRASOME Polyester Kitchen Apron for Men Women Chef Cooking Restaurants gardening workshop, barbers With Pockets and Adjustable Strap ( Grey )",Apron,,,,,,,,,,,,140,,,630222,5,60,Apron_Grey,"CRASOME Polyester Kitchen Apron for Men Women Chef Cooking Restaurants gardening workshop, barbers With Pockets and Adjustable Strap ( Grey )",20,27,47,BLR4,23,19,-21,,,,,
APR- Red,Apron_Red,"CRASOME Polyester Kitchen Apron for Men Women Chef Cooking Restaurants gardening workshop, barbers With Pockets and Adjustable Strap ( Red )",Apron,2,0.5,,,,,,,,6,,140,840,,630222,5,60,Apron_Red,"CRASOME Polyester Kitchen Apron for Men Women Chef Cooking Restaurants gardening workshop, barbers With Pockets and Adjustable Strap ( Red )",0,2,2,BLR4,7,5,5,,6,,,
APR- Tan,CRM_AP_TAN,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets",Apron,21,0,,,,,,42,,,,140,5880,,630222,5,60,CRM_AP_TAN,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets",10,35,45,BLR4,65,65,42,,42,,,
APR- Green,CRM_AP_GREEN,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets",Apron,,,,,,,,,,,,140,,,630222,5,60,CRM_AP_GREEN,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets",10,67,77,BLR4,39,47,-14,,,,,
APR- Black,CRM_AP_BLACK_PACK OF 2,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets (Black_Pack of 2)",Apron,,,,,,,,,,,,220,,,630222,5,120,CRM_AP_BLACK_PACK OF 2,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets (Black_Pack of 2)",0,89,89,BLR4,69,65,-2,,,,,
