,,,,,,,,,,,,,,,,,,,,,,AFS Days,Shipment Plan Days,,,,,Bunch Qty,,,to ship,,,
,,,,,,,,,,,,,,,,,,,,,,30,50,,,,,2,,,1975,,,
Group Name,SKU,Title,Category,Int – WH,Dec – WH,Non Apron Qty,APR- Sky Blue,APR- Dark Blue,APR- Brown,APR- Green,APR- Tan,APR- Black,APR- Red,APR- Grey,weight,Total Weight,,HSN,GST ,COST,SKU,Title,Tra. Qty,quantity,Available Qty,Fulfilment ID,Sale-Total,Sale-WH,Ship – WH,Sum,Final – WH,,,
APR- Black,Apron_Black,CRASOME Polyester Kitchen Apron for Men Women Chef Cooking Restaurants gardening workshop barbers With Pockets and Adjustable Strap ( Black ),Apron,,,,,,,,,,,,140,,,630222,5,60,Apron_Black,CRASOME Polyester Kitchen Apron for Men Women Chef Cooking Restaurants gardening workshop barbers With Pockets and Adjustable Strap ( Black ),0,53,53,BLR4,26,30,-3,,,,,
APR- Dark Blue,Apron_Blue,CRASOME Polyester Kitchen Apron for Men Women Chef Cooking Restaurants gardening workshop barbers With Pockets and Adjustable Strap (Blue),Apron,4,0,,,,,,,,,,140,,,630222,5,60,Apron_Blue,CRASOME Polyester Kitchen Apron for Men Women Chef Cooking Restaurants gardening workshop barbers With Pockets and Adjustable Strap (Blue),26,23,49,BLR4,36,34,8,,,,,FALSE
APR- Brown,Apron_Brown,"CRASOME Polyester Kitchen Apron for Men Women Chef Cooking Restaurants gardening workshop, barbers With Pockets and Adjustable Strap ( Brown )",Apron,13,0.5,,,,15,,,,,,140,2100,,630222,5,60,Apron_Brown,"CRASOME Polyester Kitchen Apron for Men Women Chef Cooking Restaurants gardening workshop, barbers With Pockets and Adjustable Strap ( Brown )",70,48,118,BLR4,87,87,27,,15,,,
APR- Grey,Apron_Grey,"CRASOME Polyester Kitchen Apron for Men Women Chef Cooking Restaurants gardening workshop, barbers With Pockets and Adjustable Strap ( Grey )",Apron,10,0,,,,,,,,,20,140,2800,,630222,5,60,Apron_Grey,"CRASOME Polyester Kitchen Apron for Men Women Chef Cooking Restaurants gardening workshop, barbers With Pockets and Adjustable Strap ( Grey )",0,24,24,BLR4,28,26,20,,20,,,
APR- Red,Apron_Red,"CRASOME Polyester Kitchen Apron for Men Women Chef Cooking Restaurants gardening workshop, barbers With Pockets and Adjustable Strap ( Red )",Apron,,,,,,,,,,,,140,,,630222,5,60,Apron_Red,"CRASOME Polyester Kitchen Apron for Men Women Chef Cooking Restaurants gardening workshop, barbers With Pockets and Adjustable Strap ( Red )",0,5,5,BLR4,3,1,-3,,,,,
APR- Tan,CRM_AP_TAN,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets",Apron,2,0.5,,,,,,10,,,,140,1400,,630222,5,60,CRM_AP_TAN,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets",0,75,75,BLR4,49,48,5,,10,,,
APR- Green,CRM_AP_GREEN,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets",Apron,3,0,,,,,10,,,,,140,1400,,630222,5,60,CRM_AP_GREEN,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets",58,20,78,BLR4,50,50,6,,10,,,
APR- Black,CRM_AP_BLACK_PACK OF 2,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets (Black_Pack of 2)",Apron,,,,,,,,,,,,220,,,630222,5,120,CRM_AP_BLACK_PACK OF 2,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets (Black_Pack of 2)",44,64,108,BLR4,68,59,-9,,,,,
