Date,FNSKU,ASIN,MSKU,Title,Disposition,Starting Warehouse Balance,In Transit Between Warehouses,Receipts,Customer Shipments,Customer Returns,Vendor Returns,Warehouse Transfer In/Out,Found,Lost,Damaged,Disposed,Other Events,Ending Warehouse Balance,Unknown Events,Location
07/25/2026,X001MVG9H7,B0BFB324WC,Bajaj_4,"CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo CSM-BJ (Blue), Polyester",SELLABLE,2,0,0,-1,0,0,0,0,0,0,0,0,1,0,MAA4
07/25/2026,X001MVHN7R,B0BFB324WC,Bajaj_1,"CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo CSM-BJ (Blue), Polyester",SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,DEL4
07/25/2026,X001MVHN7R,B0BFB324WC,Bajaj_1,"CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo CSM-BJ (Blue), Polyester",SELLABLE,3,0,0,0,0,0,0,0,0,0,0,0,3,0,MAA4
07/25/2026,X001MVIL19,B0BFB31MWV,Ultra_1,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus (Blue),CUSTOMER_DAMAGED,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MAA4
07/25/2026,X001MVIL19,B0BFB31MWV,Ultra_1,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus (Blue),SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,AMD2
07/25/2026,X001MVIL19,B0BFB31MWV,Ultra_1,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus (Blue),SELLABLE,27,0,0,0,0,0,0,0,0,0,0,0,27,0,BLR7
07/25/2026,X001MVIL19,B0BFB31MWV,Ultra_1,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus (Blue),SELLABLE,13,0,0,0,0,0,0,0,0,0,0,0,13,0,BLR8
07/25/2026,X001MVIL19,B0BFB31MWV,Ultra_1,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus (Blue),SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BOM5
07/25/2026,X001MVIL19,B0BFB31MWV,Ultra_1,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus (Blue),SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,BOM7
07/25/2026,X001MVIL19,B0BFB31MWV,Ultra_1,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus (Blue),SELLABLE,6,0,0,0,0,0,0,0,0,0,0,0,6,0,CJB1
07/25/2026,X001MVIL19,B0BFB31MWV,Ultra_1,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus (Blue),SELLABLE,13,0,0,0,0,0,0,0,0,0,0,0,13,0,DED4
07/25/2026,X001MVIL19,B0BFB31MWV,Ultra_1,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus (Blue),SELLABLE,4,0,0,0,0,0,0,0,0,0,0,0,4,0,DEL4
07/25/2026,X001MVIL19,B0BFB31MWV,Ultra_1,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus (Blue),SELLABLE,8,0,0,0,0,0,0,0,0,0,0,0,8,0,DEL5
07/25/2026,X001MVIL19,B0BFB31MWV,Ultra_1,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus (Blue),SELLABLE,13,0,0,0,0,0,0,0,0,0,0,0,13,0,MAA4
07/25/2026,X001MVIL19,B0BFB31MWV,Ultra_1,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus (Blue),SELLABLE,10,0,0,0,0,0,0,0,0,0,0,0,10,0,PNQ3
07/25/2026,X001MVIQMN,B0BFB27TWG,Bajaj_3,CRASOME Dust Proof Washable Wet Grinder Cover for 2 Litre Table Top Lakshmi | Prestige PWG 07 | Vidiem Vision CSM-BJ (Blue),SELLABLE,3,0,0,-1,0,0,0,0,0,0,0,0,2,0,BLR7
07/25/2026,X001MVIQMN,B0BFB27TWG,Bajaj_3,CRASOME Dust Proof Washable Wet Grinder Cover for 2 Litre Table Top Lakshmi | Prestige PWG 07 | Vidiem Vision CSM-BJ (Blue),SELLABLE,8,0,0,0,0,0,0,0,0,0,0,0,8,0,BLR8
07/25/2026,X001MVIQMN,B0BFB27TWG,Bajaj_3,CRASOME Dust Proof Washable Wet Grinder Cover for 2 Litre Table Top Lakshmi | Prestige PWG 07 | Vidiem Vision CSM-BJ (Blue),SELLABLE,4,0,0,0,0,0,0,0,0,0,0,0,4,0,BOM5
07/25/2026,X001MVIQMN,B0BFB27TWG,Bajaj_3,CRASOME Dust Proof Washable Wet Grinder Cover for 2 Litre Table Top Lakshmi | Prestige PWG 07 | Vidiem Vision CSM-BJ (Blue),SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BOM7
07/25/2026,X001MVIQMN,B0BFB27TWG,Bajaj_3,CRASOME Dust Proof Washable Wet Grinder Cover for 2 Litre Table Top Lakshmi | Prestige PWG 07 | Vidiem Vision CSM-BJ (Blue),SELLABLE,5,0,0,0,0,0,0,0,0,0,0,0,5,0,CJB1
07/25/2026,X001MVIQMN,B0BFB27TWG,Bajaj_3,CRASOME Dust Proof Washable Wet Grinder Cover for 2 Litre Table Top Lakshmi | Prestige PWG 07 | Vidiem Vision CSM-BJ (Blue),SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,DEL5
07/25/2026,X001MVIQMN,B0BFB27TWG,Bajaj_3,CRASOME Dust Proof Washable Wet Grinder Cover for 2 Litre Table Top Lakshmi | Prestige PWG 07 | Vidiem Vision CSM-BJ (Blue),SELLABLE,16,0,0,-1,0,0,0,0,0,0,0,0,15,0,MAA4
07/25/2026,X001MVIQMN,B0BFB27TWG,Bajaj_3,CRASOME Dust Proof Washable Wet Grinder Cover for 2 Litre Table Top Lakshmi | Prestige PWG 07 | Vidiem Vision CSM-BJ (Blue),SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,PNQ3
07/25/2026,X001O30WRB,B0BM4JLSPK,CRM_NW_GREY_DC,CRASOME Water Dispenser for 20 ltr / Litre Bottle Jar Cover (Grey),SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,AMD2
07/25/2026,X001O30WRB,B0BM4JLSPK,CRM_NW_GREY_DC,CRASOME Water Dispenser for 20 ltr / Litre Bottle Jar Cover (Grey),SELLABLE,16,0,0,0,0,0,0,0,0,0,0,0,16,0,BLR7
07/25/2026,X001O30WRB,B0BM4JLSPK,CRM_NW_GREY_DC,CRASOME Water Dispenser for 20 ltr / Litre Bottle Jar Cover (Grey),SELLABLE,14,0,0,0,0,0,1,0,0,0,0,0,15,0,BLR8
07/25/2026,X001O30WRB,B0BM4JLSPK,CRM_NW_GREY_DC,CRASOME Water Dispenser for 20 ltr / Litre Bottle Jar Cover (Grey),SELLABLE,9,0,0,0,0,0,1,0,0,0,0,0,10,0,BOM5
07/25/2026,X001O30WRB,B0BM4JLSPK,CRM_NW_GREY_DC,CRASOME Water Dispenser for 20 ltr / Litre Bottle Jar Cover (Grey),SELLABLE,9,0,0,0,0,0,0,0,0,0,0,0,9,0,BOM7
07/25/2026,X001O30WRB,B0BM4JLSPK,CRM_NW_GREY_DC,CRASOME Water Dispenser for 20 ltr / Litre Bottle Jar Cover (Grey),SELLABLE,9,0,0,0,0,0,0,0,0,0,0,0,9,0,CJB1
07/25/2026,X001O30WRB,B0BM4JLSPK,CRM_NW_GREY_DC,CRASOME Water Dispenser for 20 ltr / Litre Bottle Jar Cover (Grey),SELLABLE,3,0,0,0,0,0,0,0,0,0,0,0,3,0,DED4
07/25/2026,X001O30WRB,B0BM4JLSPK,CRM_NW_GREY_DC,CRASOME Water Dispenser for 20 ltr / Litre Bottle Jar Cover (Grey),SELLABLE,5,0,0,0,0,0,0,0,0,0,0,0,5,0,DEL4
07/25/2026,X001O30WRB,B0BM4JLSPK,CRM_NW_GREY_DC,CRASOME Water Dispenser for 20 ltr / Litre Bottle Jar Cover (Grey),SELLABLE,7,0,0,0,0,0,0,0,0,0,0,0,7,0,DEL5
07/25/2026,X001O30WRB,B0BM4JLSPK,CRM_NW_GREY_DC,CRASOME Water Dispenser for 20 ltr / Litre Bottle Jar Cover (Grey),SELLABLE,11,0,0,0,0,0,0,0,0,0,0,0,11,0,MAA4
