(Parent) ASIN,(Child) ASIN,Title,SKU,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0CQ8MGHWP,B0CQ8MGHWP,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 580 / 581 / 584 / 585 (Grey),CRM-HP-580-Grey,458,18,16.50%,13.43%,"₹1,18,797.00","₹4,583.00",455,18
B0CV4767XP,B0CV4767XP,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus - Grey,CRM-WG-NW-Ultra-Grey,393,5,6.95%,6.10%,"₹95,433.00","₹1,240.00",387,5
B0DK1J5N5C,B0DK1J5N5C,"Crasome Packing Cubes for Travel, Travel Organizer for Men & Women, Toiletries & Clothes Storage Bags, Travel Organizer Packing Bags, Pack of 3 (Cube1-Grey-Pack3)",CRM-Cube1-Grey-Pack3-1,313,13,5.66%,7.65%,"₹1,51,119.00","₹6,090.00",297,9
B0CTH4V3PZ,B0CTH4V3PZ,Crasome Dust & Water Proof Printer Cover for Canon Pixma G3000 / G3012 / G3010 / G2012 (Black),CRM-Canon-G3012-NW-Black,216,19,10.88%,18.10%,"₹55,737.00","₹4,777.00",209,14
B0FW4VKZ9M,B0FW4VKZ9M,Crasome Dust & Water Proof Printer Cover for Brother Ink Tank DCP-T535DW / DCP-T530DW / DCP-T436W / DCP-T430W (Grey),CRM-BR-T535DW-Grey,207,13,19.45%,18.31%,"₹53,454.00","₹3,297.00",205,13
B0F2MW77TT,B0F2MW77TT,"CRASOME Polyester Packing Cubes for Travel, Travel Organizer for Men & Women, Travel Storage Bag, Travel Organizer, Packing Bag for Clothes (Grey-5)",CRM-Cube1-Grey-Pack5,172,5,13.17%,10.64%,"₹1,20,632.00","₹3,424.00",166,5
B0F916GTW7,B0F916GTW7,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Grind+ Gold - Grey,CRM-WG-NW-Ultra-Grind+-Grey,167,5,10.02%,12.50%,"₹41,969.00","₹1,239.00",165,5
B0CTFF6YKQ,B0CTFF6YKQ,Crasome Dust & Water Proof Printer Cover for Epson EcoTank L3252 / L3250 / L3211 / L3260 / L3210 (Grey),CRM-EP-L3210-NW-GREY,159,8,12.74%,10.13%,"₹40,630.00","₹2,041.00",158,8
B0DKTNJ414,B0DKTNJ414,Crasome Dust & Water Proof Printer Cover for Canon Pixma G2770 / G3770 / G3730 / G2730 (Black),CRM-PR-670-G3770-BLACK,155,6,14.46%,11.76%,"₹39,891.00","₹1,553.00",154,6
B0CTFDQXD4,B0CTFDQXD4,Crasome Dust & Water Proof Printer Cover for Epson EcoTank L3252 / L3250 / L3211 / L3260 / L3210 (Black),CRM-EP-L3210-NW-BLACK,155,10,18.70%,14.29%,"₹39,598.00","₹2,539.00",152,10
B0GQ34VLVM,B0GQ34VLVM,CRASOME Dust & Water Proof Printer Cover for Canon Pixma G4780 (Grey),CRM-PR-G4780-GREY,141,16,14.07%,19.51%,"₹36,751.00","₹4,056.00",138,16
B0CQ8KNQMG,B0CQ8KNQMG,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 580 / 581 / 584 / 585 (Black),CRM-HP-580-Black,127,3,19.78%,10.34%,"₹32,209.00",₹766.00,127,3
